recipient,amount PPT owed (18 decimals),amount deposited of USD,amountPPT
0x155d2427D3188D90662f346b22B003f83afa0EeD,"3,040,000,000,000,000,000,000.00",$608.00,"3,040.00"
0xa9317ec78F3a64ba1c24Ba4DFC405061A3F24349,"1,830,000,000,000,000,000,000.00",$366.00,"1,830.00"
0x0f3e30b8259A5C0aD05a7CA076740ec7F1a07b10,"4,890,000,000,000,000,000,000.00",$978.00,"4,890.00"
0x1948F2caA833025d2E2d420c414aC3ce191Dc9c5,"6,105,000,000,000,000,000,000.00","$1,221.00","6,105.00"
0x61A31c44088B2E67f043cd9C52B82E50d6A761A3,"2,695,000,000,000,000,000,000.00",$539.00,"2,695.00"
0xe0F06D626dBA683388f7449D3cb40C023899E146,"2,275,000,000,000,000,000,000.00",$455.00,"2,275.00"
0x4c0c0ca9f8F69D7bD5dF9bC751c947c15c709B65,"1,805,000,000,000,000,000,000.00",$361.00,"1,805.00"
0x2f10Ed7E6630a8eea3d95326f804f4327409cEaf,"4,325,000,000,000,000,000,000.00",$865.00,"4,325.00"
0xEd178B1b674e70Dd53e6F69701caa153aC9a7be7,"2,000,000,000,000,000,000,000.00",$400.00,"2,000.00"
0x93C716E727c2BCeF8132D2fF4498C9a0c6397899,"5,665,000,000,000,000,000,000.00","$1,133.00","5,665.00"
0x7d3F927d7F5570bED84a5F51C71e47eeF0312aEc,"6,595,000,000,000,000,000,000.00","$1,319.00","6,595.00"
0x7c237aa3eEe1A02233bc6a789f74eA6b9D231127,"5,200,000,000,000,000,000,000.00","$1,040.00","5,200.00"
0x2FD6C5d095E1291952a1858dD62941315EEe54F3,"4,695,000,000,000,000,000,000.00",$939.00,"4,695.00"
0xFA7953FA29e982832017a6f136b430D258111ef7,"3,790,000,000,000,000,000,000.00",$758.00,"3,790.00"
0x0712ff696b08946839979708D5701A3A18649353,"4,475,000,000,000,000,000,000.00",$895.00,"4,475.00"
0x7b9dd175e1c2D2e84659339a1D4a5C39fB4719b9,"2,520,000,000,000,000,000,000.00",$504.00,"2,520.00"
0x2ffaA1E981c55d1420cf0ffF03AfeF743c118ef7,0.00,$0.00,0.00
0x9FA6A26Eef928E33D06FCA4317F0F34866a3174D,"4,025,000,000,000,000,000,000.00",$805.00,"4,025.00"
0x00Bf9444F64b63F474f8833E0573bec96BCa1cCa,"6,330,000,000,000,000,000,000.00","$1,266.00","6,330.00"
0x686D700429df5F8F9cAf4E26ced8E24b19A0CEC9,"2,025,000,000,000,000,000,000.00",$405.00,"2,025.00"
0xe53F7B5d23763D4edE7f9746cB0ec6283CA2E1BE,"1,610,000,000,000,000,000,000.00",$322.00,"1,610.00"
0x2c65A5a808450751F55AaA105ab84Ee52CF201FF,"3,430,000,000,000,000,000,000.00",$686.00,"3,430.00"
0xB3fd920d64565BCB1598F2e8aF707788389228A0,"7,245,000,000,000,000,000,000.00","$1,449.00","7,245.00"
0x4c8CDd7d5E8399EBF07a41b9feF66a91fc8bdb16,"4,580,000,000,000,000,000,000.00",$916.00,"4,580.00"
0xB004D89f2261a778DdA0656D0525DAD5ba95b5bD,"6,210,000,000,000,000,000,000.00","$1,242.00","6,210.00"
0xd7A490D7Bf95B4E61D59e3e1c8B8943dab51872e,"3,010,000,000,000,000,000,000.00",$602.00,"3,010.00"
0xF9D85652AC13fD2d4f0935eF01d8122534abdA4d,"3,130,000,000,000,000,000,000.00",$626.00,"3,130.00"
0xff22bA098eBdBB54c02fd0Df45f8D05530dA6891,"3,810,000,000,000,000,000,000.00",$762.00,"3,810.00"
0x6Af11f143CCF2ec9eDD6cd730633780f5423EC54,"7,495,000,000,000,000,000,000.00","$1,499.00","7,495.00"
0x162D15DF3cBb61D1Bf59dd8bdB2dC0f2D67df8aB,"1,300,000,000,000,000,000,000.00",$260.00,"1,300.00"
0x9013cECe9C3f5948a809752833ac04402275739E,"6,510,000,000,000,000,000,000.00","$1,302.00","6,510.00"
0x699b50650f5465f395cc81127260F08521aB8C29,"440,000,000,000,000,000,000.00",$88.00,440.00
0x32A26F2381F5275456433d1538D3d3D43D4169C2,"6,530,000,000,000,000,000,000.00","$1,306.00","6,530.00"
0xA30477359fc48cDde1cb78Fe75BBA57C9C089fef,"4,865,000,000,000,000,000,000.00",$973.00,"4,865.00"
0x420f4EeC80AEbe6C9dB842BD769e8Bf2241b6692,"1,900,000,000,000,000,000,000.00",$380.00,"1,900.00"
0xEdCACC97c4FecB9ED87D887F19dD987476f9AFB4,"5,935,000,000,000,000,000,000.00","$1,187.00","5,935.00"
