recipient,amount
0x5efcfd9de82560ce4f21f2f596dcf581d622cf3d,430000000000000000000
0x58f6eb2450d944dc2fc5f3341cd98fe4a57f7001,405000000000000000000
0x3809853cab7e0d85a6aaaf8561ffae92197f20f3,1905000000000000000000
0x2542562d34c46e6b17e0a028a715e61a32b5c8d3,1775000000000000000000
0xeebf2a759b7148b3bd1af81954d2408499a78757,1285000000000000000000
0x9d3abe4530e881635f76abd5a506b28ec18bdc18,1790000000000000000000
0x4838b9c1346d02d8ebdb3de09692c2de673f50a6,1725000000000000000000
0xd23af862c172cc5360fdedba53db81936aa35be3,1760000000000000000000
0xc0fe0cfae04a10cba43af08ddfb223042d1b7d7a,1730000000000000000000
0xe111b326074ab8474d289687cb365e66c4f5046c,1105000000000000000000
0x491e42a282178375bd1d645dba1fea80280e412a,1930000000000000000000
0xb00a146e568f4bc20a1221ca1c3a651a2a0c606d,430000000000000000000
0x3c831376d878e6c7c4fa50c3688d23dacf6e2f82,545000000000000000000
0x35a0d2dbded376da8ab1f1c3b7734d5de3c32b51,460000000000000000000
0x6663e5f527f68791801f1722e57dc9cc86a6ae20,1790000000000000000000
0xab4fe843b1725d36f41dd1ef925cb146545f14c4,1200000000000000000000
0x577ca4386f8691cf39c128598a978badf211755a,1085000000000000000000
0x2740bcdd63c27952d11f426fefdbb9285667f813,1965000000000000000000
0x5d45402e9a67b97d87b4a1b33adcfae762bbb097,995000000000000000000
0x1738fa7662b0c602b94d02d5e5962938d8b1ccca,1220000000000000000000
0x2ec012883805371d85930e256aa5eb72476708fb,495000000000000000000
0xfb313eeca4d1110d9d8db1843dca8f95f72f5c5f,1710000000000000000000
0xad9ed4b54f17e79c7a39d1d4a1b228474eef96db,1760000000000000000000
0x2182c552810b3c47a8e05b8803b7e90def5e2a17,1885000000000000000000
0x74a5dfea2f7ae541ce9c497831a71abf31212221,2000000000000000000000
0xd6d9c5b19471e04e735b7ba0f2abc3ff41c41de3,650000000000000000000
0xf5ccbc13298772309f649b8301ed35b0f73f1229,2080000000000000000000
0x5c50e4cd322743cce75320ce02be6038490c213d,1720000000000000000000
0xf7addcef4a75c78625384423c3e7ce010adaec08,1615000000000000000000
0x973f27dfe1672c5562f992f2342f7b0fe0e45833,1675000000000000000000
0xc0b501c87ba4a287b8116bd58953e15b5dde35af,960000000000000000000
0x639f6b7db45b1e9f70aedffb48c195652b8303f1,1280000000000000000000
0xda50d037cced6cc8a63b45b2f5ab89c432a1439e,1600000000000000000000
0x8015d7a891015534aa456c2a6de9961984b402b4,1955000000000000000000
