recipient,amountPPT18Dec,amount_deposited_of_USD,amountPPT
0x08A7b0cfBe6BdA2Bff6d82026675e97EF6AB9674,"5,397,393,617,021,270,000,000.00","$1,014.71","5,397.39"
0x225d7372471eC349350c1EfA2d4dbF8D5ac802bC,"5,158,031,914,893,610,000,000.00",$969.71,"5,158.03"
0xE78c19003Bb45BFCe04aBDA7E12153b7663Bd132,"3,636,755,319,148,930,000,000.00",$683.71,"3,636.76"
0x2d697018aCEd0cb946F5d522E948611900B3aD0E,"7,551,648,936,170,210,000,000.00","$1,419.71","7,551.65"
0x615DF8656266A342B910eff4BB6CaDE03399Cf71,"2,785,691,489,361,700,000,000.00",$523.71,"2,785.69"
0x1C5239E342c837FC35C2385C064633D4E7Fe01FC,"4,844,202,127,659,570,000,000.00",$910.71,"4,844.20"
0xE61d98d72B9f8F2064d76F78A8700ebE44f0AD9E,"5,955,904,255,319,140,000,000.00","$1,119.71","5,955.90"
0xd89D01dF2cba8048C49C7349d28bD460821Dc103,"4,211,223,404,255,310,000,000.00",$791.71,"4,211.22"
0xD1dA02f8aebCf0023ce2efA633852E3B8fCbD50b,"7,434,627,659,574,460,000,000.00","$1,397.71","7,434.63"
0x6aB9E5C57026FB421c648c862C6b3c6b2639A145,"5,551,648,936,170,210,000,000.00","$1,043.71","5,551.65"
0x1C7309e50ED51DA69b4f0Bc734D1833f2B3bB30b,"4,381,436,170,212,760,000,000.00",$823.71,"4,381.44"
0x69eeEF7Ee315e15EdFeA643C1dF189Ea2E519F39,"5,264,414,893,617,020,000,000.00",$989.71,"5,264.41"
0xccC437f9076C5C813822bEE2C0aD676e8aaaFAB3,"3,961,223,404,255,310,000,000.00",$744.71,"3,961.22"
0x8D39aa0b0A60bB06dbB2Ef97Ab42d39D835d5cE1,"7,753,776,595,744,680,000,000.00","$1,457.71","7,753.78"
0x29404aa541c5fc48C63ED86BD64945a1E3A3262F,"1,982,500,000,000,000,000,000.00",$372.71,"1,982.50"
0xbce4e199019f6920083bb25c5E200Cc66A2f8FC2,"3,030,372,340,425,530,000,000.00",$569.71,"3,030.37"
0x4ad0D8A4E8d0DA074Cf9ef7030Da6d75c110d2bB,"7,312,287,234,042,550,000,000.00","$1,374.71","7,312.29"
0x1d412f9f9E5B3E0E937b680AF632fFfEcEaf0927,"4,056,968,085,106,380,000,000.00",$762.71,"4,056.97"
0x5Ac7d86aFC688e80067c4bE88d7C6Ae4a559880a,"5,072,925,531,914,890,000,000.00",$953.71,"5,072.93"
0x39234b0a8D19Fd6f2507495eCf7504488EF8CA76,"3,120,797,872,340,420,000,000.00",$586.71,"3,120.80"
0x3DD27B6dE8C06603C2B87c2E0938F616454893B7,"5,015,957,446,808,510,000,000.00",$943.00,"5,015.96"
0x8dc81A5649b2DBe15f87ae6C6E5CEc67356CAB7F,"5,354,840,425,531,910,000,000.00","$1,006.71","5,354.84"
0x140d0E6616cc1DFB324bd612453bB0fcE98F681c,"6,397,393,617,021,270,000,000.00","$1,202.71","6,397.39"
0xa03483f78CB9f10A597FACFCDFFA9736295Ecc20,"3,615,478,723,404,250,000,000.00",$679.71,"3,615.48"
0xE079B5bf6b242faF148D50EDca6c61baAF4632B7,"3,514,414,893,617,020,000,000.00",$660.71,"3,514.41"
0x91BF87d4792ADAFA7D24c107f21b40CC96Fbe4eE,"7,556,968,085,106,380,000,000.00","$1,420.71","7,556.97"
0xc71873373dF4aff162a9b8F8AA9bB3C838A98A01,"3,689,946,808,510,630,000,000.00",$693.71,"3,689.95"
0xcDCA3c9f538167f36ca493ea9996dE93a8D786F1,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xEEb001383df4EDD4bd004fC37a42458C70fA3171,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x0D32C5BD4FdB9443433B7fb0d80B21F3a44531A7,"994,680,851,063,829,000,000.00",,0.00
0xD0F47a3E0CcE2963022f427E6e7E74e2dF1dAfeE,"5,276,595,744,680,850,000,000.00",,0.00
0x7ef927A662FfC5a7B8BdcB45C1dA718078eAF870,"6,984,042,553,191,480,000,000.00",,0.00
0x44Bd307736016EB2cD1AAA9C5c8F88272137b990,"6,966,542,553,191,480,000,000.00",,0.00
0x4198AB9aC3820C49e1b3fD8063112BA60a66c09D,"5,478,723,404,255,310,000,000.00",,0.00
0x5771a1d428eAeaB0dbE6Db2620ada0570851dBe8,"4,035,691,489,361,700,000,000.00",,0.00
0x74A3fC6DE6D01e02FC9FCcF9fA485854ce59B91A,"4,005,319,148,936,170,000,000.00",,0.00
0x82274f7dCF5B24f31cbfc71FB0e7e1F8Ec210415,"5,281,914,893,617,020,000,000.00",$336.42,"1,789.47"
0x83Ee79dDa432A7E61105C98663C0D6d7bCd3C514,"6,851,063,829,787,230,000,000.00","$1,288.00","6,851.06"
0x7536b1c9279df065678831407E3d2b1Ae733C15a,"6,547,872,340,425,530,000,000.00","$1,231.00","6,547.87"
0x25b91EcC1601BCB842Fb6085D323494b668C3a47,"5,297,872,340,425,530,000,000.00",$996.00,"5,297.87"
0xa0c336CA2408B50a36088D19c6cAAfB17b398244,"3,143,617,021,276,590,000,000.00",$591.00,"3,143.62"
0x44233BcfE78a4a72eA482E6855dc3899F23469b7,"4,664,893,617,021,270,000,000.00",$877.00,"4,664.89"
0xD46509AcA87f63c7723FAC99C2D3A0241fd0b401,"3,914,893,617,021,270,000,000.00",$736.00,"3,914.89"
0x876043e17B483542fc181EF81f3bDDf0fa05d217,"5,372,340,425,531,910,000,000.00","$1,010.00","5,372.34"
0xCFc1D23637Ae6E1C27CA8d5bbAd21201459Fa419,"5,026,595,744,680,850,000,000.00",$945.00,"5,026.60"
0xd8AF26C5Ca126A6ab399d4049Db6Ed266D4da7d2,"5,228,723,404,255,310,000,000.00",$983.00,"5,228.72"
0x95f6a8372f407F4cc2F8b466AD0A72D919973d05,"2,689,946,808,510,630,000,000.00",$505.71,"2,689.95"
0x6b4Be4e05f6dF3Fe78F65c7e2e6eCEB3E1Df83E5,"7,734,042,553,191,480,000,000.00","$1,454.00","7,734.04"
0x429f7Ba30135ccc353138355865e256D8475535b,"4,207,446,808,510,630,000,000.00",$791.00,"4,207.45"
0x0fDF9245CE5130265f6797A606C29603025F1447,"5,851,063,829,787,230,000,000.00","$1,100.00","5,851.06"
0xB4A4f46eBEDF1fD03F9bDCdeFA404928b9085BbA,"7,404,255,319,148,930,000,000.00","$1,392.00","7,404.26"
0xead3740d3EC5B07DF90F9079591962569F3fA25C,"7,711,223,404,255,310,000,000.00","$1,449.71","7,711.22"
0x356934781E8D9B4Bd15bbbA128cEB10ce4EC038c,"5,925,531,914,893,610,000,000.00","$1,114.00","5,925.53"
0x3d8F3141e0f0e0181Ff64cF579Cb063f1D821a9a,"5,095,744,680,851,060,000,000.00",$958.00,"5,095.74"
0xF0655195296D3a1225bd1DAe578813011D046C60,"3,275,053,191,489,360,000,000.00",$615.71,"3,275.05"
0x36477d919c984249f8aC17306fB5ea57f78Cf348,"7,521,276,595,744,680,000,000.00","$1,414.00","7,521.28"
0xEB536Bf2F3066450Bde118F09663D28b5EA8651b,"4,365,478,723,404,250,000,000.00",$820.71,"4,365.48"
0x6B45fC2DAcc49e34d26d06019299DA1c3315cAa1,"7,367,021,276,595,740,000,000.00","$1,385.00","7,367.02"
0xb94C8D5C32569AB4806f3f87B5a808D93Cc878aE,"4,952,127,659,574,460,000,000.00",$931.00,"4,952.13"
0x8C454D80FEd0C936e512De572976D9579AF5Fa11,"4,393,617,021,276,590,000,000.00",$826.00,"4,393.62"
0x348fbbD10c7B61b6A4d585074DE13b3170d47479,"5,893,617,021,276,590,000,000.00","$1,108.00","5,893.62"
0x35fcC3842e95dF844bd47A7C6a94472Ea33dF35b,"3,872,340,425,531,910,000,000.00",$728.00,"3,872.34"
0xD15c935Afc523c619a2c1eD8E7CEC101dC82c364,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x75912f8D0FA8fE48a0aB748B7B7765f1174e701D,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x79c8749cfCCFdA56CB907D0b080005a8E3D50C93,"5,888,297,872,340,420,000,000.00","$1,107.00","5,888.30"
0xeb68f3b03D431E6e5C9293D4F31fdE741a299782,"7,462,765,957,446,800,000,000.00","$1,403.00","7,462.77"
0x6e645E0f0684F1EFEa94D546c2783C611b405b8f,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xEa1Fc9138E1C8DC8f3c3bC0f8F61eC5fB6B04710,"5,744,680,851,063,830,000,000.00","$1,080.00","5,744.68"
0xad729EF15A737e3D25cf8BaEed2d2bA29353D682,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xEb32E8bD12f2795ead1F796C4a10057beFB0e45f,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x3441aF6CD359650E7F4C1F349ee87f5fa50634bE,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x5626A805dE00dFB668A58d4428Be34c6c4E88557,"3,292,553,191,489,360,000,000.00",$619.00,"3,292.55"
0x952868dF7a57729203DA2c4b7B9c921E86D19cDA,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x812F57e15B139E38A6E47db520694F8cf86Ae908,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x8853DaE0FB782006eB605C57F606aCAfBB3ec85d,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x21b5BE89a99EacD0f82df6B3b9b079B1b89012A7,"2,654,255,319,148,930,000,000.00",$499.00,"2,654.26"
0xfeC36eC1aD5A17FB2f3924B0526d00d3414B7f46,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xB34B4739dA7ce1dD43fb25a179CeBAEED5c62CB0,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xca2EA1d51FF8FFcb78FA0448c72EB57586bBcB1B,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xd3A1e9256193707020a8ec793E5efB8552B33F7A,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xB312E951299D7783b37307108Dc1Dd2f80Cd9162,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x07e20EAf4B2d19fabB7d124b5b94f83f8515DB5f,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
